Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 2, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 23,068,928
  scalars                 : 16
  total                   : 39,846,160
Estimated FLOPs per token: 2.264940e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011336 | lrm: 1.00 | dt: 224382ms | tok/sec: 876 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00536 (20.7%) | loss: 3.224496 | lrm: 1.00 | dt: 129ms | tok/sec: 1,519,269 | mfu: 34.8% | epoch: 1 | remaining: 238s    
step 00537 (20.8%) | loss: 3.226199 | lrm: 1.00 | dt: 113ms | tok/sec: 1,734,343 | mfu: 39.7% | epoch: 1 | remaining: 238s    
step 00538 (20.8%) | loss: 3.229440 | lrm: 1.00 | dt: 124ms | tok/sec: 1,587,378 | mfu: 36.3% | epoch: 1 | remaining: 237s    
step 00539 (20.9%) | loss: 3.227833 | lrm: 1.00 | dt: 113ms | tok/sec: 1,735,599 | mfu: 39.7% | epoch: 1 | remaining: 237s    
step 00540 (20.9%) | loss: 3.229323 | lrm: 1.00 | dt: 115ms | tok/sec: 1,710,471 | mfu: 39.2% | epoch: 1 | remaining: 237s    
step 00541 (20.9%) | loss: 3.229123 | lrm: 1.00 | dt: 115ms | tok/sec: 1,705,825 | mfu: 39.0% | epoch: 1 | remaining: 237s    
step 00542 (21.0%) | loss: 3.224224 | lrm: 1.00 | dt: 117ms | tok/sec: 1,678,278 | mfu: 38.4% | epoch: 1 | remaining: 237s    
step 00543 (21.0%) | loss: 3.227350 | lrm: 1.00 | dt: 115ms | tok/sec: 1,703,176 | mfu: 39.0% | epoch: 1 | remaining: 237s    
step 00544 (21.1%) | loss: 3.230483 | lrm: 1.00 | dt: 121ms | tok/sec: 1,625,954 | mfu: 37.2% | epoch: 1 | remaining: 237s    
step 00545 (21.1%) | loss: 3.221933 | lrm: 1.00 | dt: 115ms | tok/sec: 1,711,543 | mfu: 39.2% | epoch: 1 | remaining: 237s    
step 00546 (21.1%) | loss: 3.225908 | lrm: 1.00 | dt: 115ms | tok/sec: 1,710,659 | mfu: 39.2% | epoch: 1 | remaining: 236s    
step 00547 (21.2%) | loss: 3.222734 | lrm: 1.00 | dt: 127ms | tok/sec: 1,544,712 | mfu: 35.4% | epoch: 1 | remaining: 236s    
step 00548 (21.2%) | loss: 3.216253 | lrm: 1.00 | dt: 112ms | tok/sec: 1,749,054 | mfu: 40.0% | epoch: 1 | remaining: 236s    
step 00549 (21.3%) | loss: 3.211505 | lrm: 1.00 | dt: 116ms | tok/sec: 1,690,678 | mfu: 38.7% | epoch: 1 | remaining: 236s    
step 00550 (21.3%) | loss: 3.211906 | lrm: 1.00 | dt: 114ms | tok/sec: 1,722,584 | mfu: 39.4% | epoch: 1 | remaining: 236s    
step 00551 (21.3%) | loss: 3.215019 | lrm: 1.00 | dt: 117ms | tok/sec: 1,684,242 | mfu: 38.6% | epoch: 1 | remaining: 236s    
step 00552 (21.4%) | loss: 3.215547 | lrm: 1.00 | dt: 119ms | tok/sec: 1,648,255 | mfu: 37.7% | epoch: 1 | remaining: 236s    
step 00553 (21.4%) | loss: 3.214545 | lrm: 1.00 | dt: 114ms | tok/sec: 1,717,693 | mfu: 39.3% | epoch: 1 | remaining: 236s    
step 00554 (21.4%) | loss: 3.212089 | lrm: 1.00 | dt: 121ms | tok/sec: 1,627,112 | mfu: 37.2% | epoch: 1 | remaining: 236s    
step 00555 (21.5%) | loss: 3.212961 | lrm: 1.00 | dt: 114ms | tok/sec: 1,729,016 | mfu: 39.6% | epoch: 1 | remaining: 235s    
step 00556 (21.5%) | loss: 3.215840 | lrm: 1.00 | dt: 115ms | tok/sec: 1,715,499 | mfu: 39.3% | epoch: 1 | remaining: 235s    
step 00557 (21.6%) | loss: 3.213781 | lrm: 1.00 | dt: 113ms | tok/sec: 1,734,026 | mfu: 39.7% | epoch: 1 | remaining: 235s    
step 00558 (21.6%) | loss: 3.216827 | lrm: 1.00 | dt: 116ms | tok/sec: 1,695,326 | mfu: 38.8% | epoch: 1 | remaining: 235s    
step 00559 (21.6%) | loss: 3.212754 | lrm: 1.00 | dt: 114ms | tok/sec: 1,719,677 | mfu: 39.4% | epoch: 1 | remaining: 235s    
step 00560 (21.7%) | loss: 3.216089 | lrm: 1.00 | dt: 125ms | tok/sec: 1,572,540 | mfu: 36.0% | epoch: 1 | remaining: 235s    
step 00561 (21.7%) | loss: 3.214544 | lrm: 1.00 | dt: 112ms | tok/sec: 1,753,174 | mfu: 40.1% | epoch: 1 | remaining: 235s    
step 00562 (21.8%) | loss: 3.209168 | lrm: 1.00 | dt: 117ms | tok/sec: 1,685,867 | mfu: 38.6% | epoch: 1 | remaining: 235s    
step 00563 (21.8%) | loss: 3.208146 | lrm: 1.00 | dt: 118ms | tok/sec: 1,665,089 | mfu: 38.1% | epoch: 1 | remaining: 234s    
step 00564 (21.8%) | loss: 3.216246 | lrm: 1.00 | dt: 114ms | tok/sec: 1,719,634 | mfu: 39.4% | epoch: 1 | remaining: 234s    
step 00565 (21.9%) | loss: 3.219865 | lrm: 1.00 | dt: 113ms | tok/sec: 1,732,700 | mfu: 39.7% | epoch: 1 | remaining: 234s    
step 00566 (21.9%) | loss: 3.218244 | lrm: 1.00 | dt: 114ms | tok/sec: 1,721,501 | mfu: 39.4% | epoch: 1 | remaining: 234s    
step 00567 (21.9%) | loss: 3.214226 | lrm: 1.00 | dt: 115ms | tok/sec: 1,708,632 | mfu: 39.1% | epoch: 1 | remaining: 234s    
step 00568 (22.0%) | loss: 3.214927 | lrm: 1.00 | dt: 117ms | tok/sec: 1,675,808 | mfu: 38.4% | epoch: 1 | remaining: 234s    
step 00569 (22.0%) | loss: 3.212444 | lrm: 1.00 | dt: 116ms | tok/sec: 1,699,088 | mfu: 38.9% | epoch: 1 | remaining: 234s    
step 00570 (22.1%) | loss: 3.207980 | lrm: 1.00 | dt: 113ms | tok/sec: 1,733,377 | mfu: 39.7% | epoch: 1 | remaining: 234s    
step 00571 (22.1%) | loss: 3.204241 | lrm: 1.00 | dt: 116ms | tok/sec: 1,691,670 | mfu: 38.7% | epoch: 1 | remaining: 234s    
step 00572 (22.1%) | loss: 3.202297 | lrm: 1.00 | dt: 121ms | tok/sec: 1,620,175 | mfu: 37.1% | epoch: 1 | remaining: 233s    
step 00573 (22.2%) | loss: 3.203190 | lrm: 1.00 | dt: 113ms | tok/sec: 1,735,077 | mfu: 39.7% | epoch: 1 | remaining: 233s    
step 00574 (22.2%) | loss: 3.206186 | lrm: 1.00 | dt: 115ms | tok/sec: 1,706,987 | mfu: 39.1% | epoch: 1 | remaining: 233s    
step 00575 (22.3%) | loss: 3.204235 | lrm: 1.00 | dt: 120ms | tok/sec: 1,635,898 | mfu: 37.4% | epoch: 1 | remaining: 233s    
step 00576 (22.3%) | loss: 3.203663 | lrm: 1.00 | dt: 112ms | tok/sec: 1,752,269 | mfu: 40.1% | epoch: 1 | remaining: 233s    
step 00577 (22.3%) | loss: 3.201431 | lrm: 1.00 | dt: 116ms | tok/sec: 1,691,084 | mfu: 38.7% | epoch: 1 | remaining: 233s    
step 00578 (22.4%) | loss: 3.204675 | lrm: 1.00 | dt: 115ms | tok/sec: 1,709,758 | mfu: 39.1% | epoch: 1 | remaining: 233s    
step 00579 (22.4%) | loss: 3.208394 | lrm: 1.00 | dt: 116ms | tok/sec: 1,695,957 | mfu: 38.8% | epoch: 1 | remaining: 233s    
step 00580 (22.5%) | loss: 3.209068 | lrm: 1.00 | dt: 115ms | tok/sec: 1,712,588 | mfu: 39.2% | epoch: 1 | remaining: 233s    
step 00581 (22.5%) | loss: 3.214316 | lrm: 1.00 | dt: 115ms | tok/sec: 1,712,140 | mfu: 39.2% | epoch: 1 | remaining: 232s    
step 00582 (22.5%) | loss: 3.209815 | lrm: 1.00 | dt: 127ms | tok/sec: 1,548,320 | mfu: 35.4% | epoch: 1 | remaining: 232s    
step 00583 (22.6%) | loss: 3.209508 | lrm: 1.00 | dt: 112ms | tok/sec: 1,755,608 | mfu: 40.2% | epoch: 1 | remaining: 232s    
step 00584 (22.6%) | loss: 3.214007 | lrm: 1.00 | dt: 115ms | tok/sec: 1,713,916 | mfu: 39.2% | epoch: 1 | remaining: 232s    
step 00585 (22.6%) | loss: 3.210132 | lrm: 1.00 | dt: 121ms | tok/sec: 1,619,749 | mfu: 37.1% | epoch: 1 | remaining: 232s    
step 00586 (22.7%) | loss: 3.211282 | lrm: 1.00 | dt: 114ms | tok/sec: 1,727,032 | mfu: 39.5% | epoch: 1 | remaining: 232s    
step 00587 (22.7%) | loss: 3.211689 | lrm: 1.00 | dt: 142ms | tok/sec: 1,381,198 | mfu: 31.6% | epoch: 1 | remaining: 232s    
step 00588 (22.8%) | loss: 3.213097 | lrm: 1.00 | dt: 111ms | tok/sec: 1,768,219 | mfu: 40.5% | epoch: 1 | remaining: 232s    
step 00589 (22.8%) | loss: 3.215921 | lrm: 1.00 | dt: 112ms | tok/sec: 1,749,210 | mfu: 40.0% | epoch: 1 | remaining: 231s    
step 00590 (22.8%) | loss: 3.219049 | lrm: 1.00 | dt: 115ms | tok/sec: 1,709,163 | mfu: 39.1% | epoch: 1 | remaining: 231s    
step 00591 (22.9%) | loss: 3.221884 | lrm: 1.00 | dt: 114ms | tok/sec: 1,719,581 | mfu: 39.4% | epoch: 1 | remaining: 231s    
step 00592 (22.9%) | loss: 3.212601 | lrm: 1.00 | dt: 114ms | tok/sec: 1,724,107 | mfu: 39.5% | epoch: 1 | remaining: 231s    
step 00593 (23.0%) | loss: 3.206005 | lrm: 1.00 | dt: 116ms | tok/sec: 1,700,836 | mfu: 38.9% | epoch: 1 | remaining: 231s    
step 00594 (23.0%) | loss: 3.200847 | lrm: 1.00 | dt: 120ms | tok/sec: 1,642,938 | mfu: 37.6% | epoch: 1 | remaining: 231s    
step 00595 (23.0%) | loss: 3.202112 | lrm: 1.00 | dt: 117ms | tok/sec: 1,681,769 | mfu: 38.5% | epoch: 1 | remaining: 231s    
step 00596 (23.1%) | loss: 3.205405 | lrm: 1.00 | dt: 118ms | tok/sec: 1,670,685 | mfu: 38.2% | epoch: 1 | remaining: 231s    
step 00597 (23.1%) | loss: 3.204732 | lrm: 1.00 | dt: 114ms | tok/sec: 1,727,079 | mfu: 39.5% | epoch: 1 | remaining: 231s    
step 00598 (23.2%) | loss: 3.205401 | lrm: 1.00 | dt: 114ms | tok/sec: 1,726,049 | mfu: 39.5% | epoch: 1 | remaining: 230s    
step 00599 (23.2%) | loss: 3.206302 | lrm: 1.00 | dt: 115ms | tok/sec: 1,702,652 | mfu: 39.0% | epoch: 1 | remaining: 230s    
step 00600 (23.2%) | loss: 3.211151 | lrm: 1.00 | dt: 114ms | tok/sec: 1,720,355 | mfu: 39.4% | epoch: 1 | remaining: 230s    
step 00601 (23.3%) | loss: 3.212082 | lrm: 1.00 | dt: 114ms | tok/sec: 1,731,387 | mfu: 39.6% | epoch: 1 | remaining: 230s    
step 00602 (23.3%) | loss: 3.211422 | lrm: 1.00 | dt: 115ms | tok/sec: 1,714,304 | mfu: 39.2% | epoch: 1 | remaining: 230s    
step 00603 (23.3%) | loss: 3.214070 | lrm: 1.00 | dt: 134ms | tok/sec: 1,464,929 | mfu: 33.5% | epoch: 1 | remaining: 230s    
step 00604 (23.4%) | loss: 3.216748 | lrm: 1.00 | dt: 114ms | tok/sec: 1,730,983 | mfu: 39.6% | epoch: 1 | remaining: 230s    
step 00605 (23.4%) | loss: 3.215655 | lrm: 1.00 | dt: 148ms | tok/sec: 1,331,899 | mfu: 30.5% | epoch: 1 | remaining: 230s    
step 00606 (23.5%) | loss: 3.216468 | lrm: 1.00 | dt: 111ms | tok/sec: 1,766,295 | mfu: 40.4% | epoch: 1 | remaining: 229s    
step 00607 (23.5%) | loss: 3.215080 | lrm: 1.00 | dt: 120ms | tok/sec: 1,640,605 | mfu: 37.6% | epoch: 1 | remaining: 229s    
step 00608 (23.6%) | loss: 3.216982 | lrm: 1.00 | dt: 112ms | tok/sec: 1,748,564 | mfu: 40.0% | epoch: 1 | remaining: 229s    
step 00609 (23.6%) | loss: 3.217947 | lrm: 1.00 | dt: 118ms | tok/sec: 1,664,343 | mfu: 38.1% | epoch: 1 | remaining: 229s    
step 00610 (23.6%) | loss: 3.214714 | lrm: 1.00 | dt: 113ms | tok/sec: 1,747,512 | mfu: 40.0% | epoch: 1 | remaining: 229s    
step 00611 (23.7%) | loss: 3.216279 | lrm: 1.00 | dt: 116ms | tok/sec: 1,696,365 | mfu: 38.8% | epoch: 1 | remaining: 229s    
step 00612 (23.7%) | loss: 3.213935 | lrm: 1.00 | dt: 115ms | tok/sec: 1,711,380 | mfu: 39.2% | epoch: 1 | remaining: 229s    
step 00613 (23.7%) | loss: 3.214525 | lrm: 1.00 | dt: 127ms | tok/sec: 1,546,615 | mfu: 35.4% | epoch: 1 | remaining: 229s    
step 00614 (23.8%) | loss: 3.215634 | lrm: 1.00 | dt: 113ms | tok/sec: 1,733,330 | mfu: 39.7% | epoch: 1 | remaining: 229s    
step 00615 (23.8%) | loss: 3.217876 | lrm: 1.00 | dt: 114ms | tok/sec: 1,725,799 | mfu: 39.5% | epoch: 1 | remaining: 228s    
step 00616 (23.9%) | loss: 3.219103 | lrm: 1.00 | dt: 123ms | tok/sec: 1,604,701 | mfu: 36.7% | epoch: 1 | remaining: 228s    
step 00617 (23.9%) | loss: 3.223974 | lrm: 1.00 | dt: 112ms | tok/sec: 1,754,995 | mfu: 40.2% | epoch: 1 | remaining: 228s    
step 00618 (23.9%) | loss: 3.218869 | lrm: 1.00 | dt: 128ms | tok/sec: 1,533,258 | mfu: 35.1% | epoch: 1 | remaining: 228s    
step 00619 (24.0%) | loss: 3.213612 | lrm: 1.00 | dt: 112ms | tok/sec: 1,752,619 | mfu: 40.1% | epoch: 1 | remaining: 228s    
step 00620 (24.0%) | loss: 3.209990 | lrm: 1.00 | dt: 114ms | tok/sec: 1,725,622 | mfu: 39.5% | epoch: 1 | remaining: 228s    
step 00621 (24.1%) | loss: 3.208564 | lrm: 1.00 | dt: 117ms | tok/sec: 1,679,334 | mfu: 38.4% | epoch: 1 | remaining: 228s    
step 00622 (24.1%) | loss: 3.209112 | lrm: 1.00 | dt: 121ms | tok/sec: 1,625,114 | mfu: 37.2% | epoch: 1 | remaining: 228s    
step 00623 (24.1%) | loss: 3.205633 | lrm: 1.00 | dt: 115ms | tok/sec: 1,715,495 | mfu: 39.3% | epoch: 1 | remaining: 227s    
step 00624 (24.2%) | loss: 3.207702 | lrm: 1.00 | dt: 115ms | tok/sec: 1,707,107 | mfu: 39.1% | epoch: 1 | remaining: 227s    
step 00625 (24.2%) | loss: 3.215024 | lrm: 1.00 | dt: 114ms | tok/sec: 1,722,004 | mfu: 39.4% | epoch: 1 | remaining: 227s    
step 00626 (24.3%) | loss: 3.206898 | lrm: 1.00 | dt: 119ms | tok/sec: 1,658,755 | mfu: 38.0% | epoch: 1 | remaining: 227s    
step 00627 (24.3%) | loss: 3.209841 | lrm: 1.00 | dt: 112ms | tok/sec: 1,750,495 | mfu: 40.1% | epoch: 1 | remaining: 227s    
step 00628 (24.3%) | loss: 3.207119 | lrm: 1.00 | dt: 120ms | tok/sec: 1,642,565 | mfu: 37.6% | epoch: 1 | remaining: 227s    
step 00629 (24.4%) | loss: 3.205964 | lrm: 1.00 | dt: 115ms | tok/sec: 1,703,570 | mfu: 39.0% | epoch: 1 | remaining: 227s    
step 00630 (24.4%) | loss: 3.204058 | lrm: 1.00 | dt: 117ms | tok/sec: 1,680,100 | mfu: 38.5% | epoch: 1 | remaining: 227s    
step 00631 (24.4%) | loss: 3.202734 | lrm: 1.00 | dt: 136ms | tok/sec: 1,447,454 | mfu: 33.1% | epoch: 1 | remaining: 227s    
step 00632 (24.5%) | loss: 3.209062 | lrm: 1.00 | dt: 111ms | tok/sec: 1,771,805 | mfu: 40.6% | epoch: 1 | remaining: 226s    
step 00633 (24.5%) | loss: 3.207209 | lrm: 1.00 | dt: 113ms | tok/sec: 1,743,669 | mfu: 39.9% | epoch: 1 | remaining: 226s    
step 00634 (24.6%) | loss: 3.203980 | lrm: 1.00 | dt: 115ms | tok/sec: 1,707,167 | mfu: 39.1% | epoch: 1 | remaining: 226s    
step 00635 (24.6%) | loss: 3.205116 | lrm: 1.00 | dt: 118ms | tok/sec: 1,672,712 | mfu: 38.3% | epoch: 1 | remaining: 226s    
step 00636 (24.6%) | loss: 3.207928 | lrm: 1.00 | dt: 113ms | tok/sec: 1,734,431 | mfu: 39.7% | epoch: 1 | remaining: 226s    
step 00637 (24.7%) | loss: 3.207760 | lrm: 1.00 | dt: 117ms | tok/sec: 1,676,725 | mfu: 38.4% | epoch: 1 | remaining: 226s    
step 00638 (24.7%) | loss: 3.209484 | lrm: 1.00 | dt: 156ms | tok/sec: 1,257,448 | mfu: 28.8% | epoch: 1 | remaining: 226s    
step 00639 (24.8%) | loss: 3.210020 | lrm: 1.00 | dt: 112ms | tok/sec: 1,755,021 | mfu: 40.2% | epoch: 1 | remaining: 226s    
step 00640 (24.8%) | loss: 3.206514 | lrm: 1.00 | dt: 113ms | tok/sec: 1,743,098 | mfu: 39.9% | epoch: 1 | remaining: 225s    
step 00641 (24.9%) | loss: 3.201686 | lrm: 1.00 | dt: 113ms | tok/sec: 1,744,296 | mfu: 39.9% | epoch: 1 | remaining: 225s    
step 00642 (24.9%) | loss: 3.197126 | lrm: 1.00 | dt: 127ms | tok/sec: 1,551,223 | mfu: 35.5% | epoch: 1 | remaining: 225s    
step 00643 (24.9%) | loss: 3.188215 | lrm: 1.00 | dt: 112ms | tok/sec: 1,752,924 | mfu: 40.1% | epoch: 1 | remaining: 225s    
step 00644 (25.0%) | loss: 3.191135 | lrm: 1.00 | dt: 113ms | tok/sec: 1,745,389 | mfu: 40.0% | epoch: 1 | remaining: 225s    
step 00645 (25.0%) | loss: 3.189481 | lrm: 1.00 | dt: 115ms | tok/sec: 1,710,077 | mfu: 39.1% | epoch: 1 | remaining: 225s    
step 00646 (25.0%) | loss: 3.187192 | lrm: 1.00 | dt: 123ms | tok/sec: 1,601,690 | mfu: 36.7% | epoch: 1 | remaining: 225s    
step 00647 (25.1%) | loss: 3.190837 | lrm: 1.00 | dt: 120ms | tok/sec: 1,644,314 | mfu: 37.6% | epoch: 1 | remaining: 225s    
step 00648 (25.1%) | loss: 3.193558 | lrm: 1.00 | dt: 123ms | tok/sec: 1,597,622 | mfu: 36.6% | epoch: 1 | remaining: 225s    
step 00649 (25.2%) | loss: 3.198452 | lrm: 1.00 | dt: 112ms | tok/sec: 1,750,391 | mfu: 40.1% | epoch: 1 | remaining: 224s    
step 00650 (25.2%) | loss: 3.197795 | lrm: 1.00 | dt: 130ms | tok/sec: 1,510,592 | mfu: 34.6% | epoch: 1 | remaining: 224s    
step 00651 (25.2%) | loss: 3.200670 | lrm: 1.00 | dt: 112ms | tok/sec: 1,757,070 | mfu: 40.2% | epoch: 1 | remaining: 224s    
step 00652 (25.3%) | loss: 3.202541 | lrm: 1.00 | dt: 113ms | tok/sec: 1,745,134 | mfu: 39.9% | epoch: 1 | remaining: 224s    
step 00653 (25.3%) | loss: 3.204601 | lrm: 1.00 | dt: 117ms | tok/sec: 1,675,356 | mfu: 38.3% | epoch: 1 | remaining: 224s    
step 00654 (25.4%) | loss: 3.203205 | lrm: 1.00 | dt: 114ms | tok/sec: 1,722,155 | mfu: 39.4% | epoch: 1 | remaining: 224s    
step 00655 (25.4%) | loss: 3.192912 | lrm: 1.00 | dt: 118ms | tok/sec: 1,667,880 | mfu: 38.2% | epoch: 1 | remaining: 224s    
step 00656 (25.4%) | loss: 3.191687 | lrm: 1.00 | dt: 116ms | tok/sec: 1,690,630 | mfu: 38.7% | epoch: 1 | remaining: 224s    
step 00657 (25.5%) | loss: 3.185178 | lrm: 1.00 | dt: 114ms | tok/sec: 1,718,513 | mfu: 39.3% | epoch: 1 | remaining: 223s    
step 00658 (25.5%) | loss: 3.186617 | lrm: 1.00 | dt: 116ms | tok/sec: 1,694,594 | mfu: 38.8% | epoch: 1 | remaining: 223s    
step 00659 (25.6%) | loss: 3.191017 | lrm: 1.00 | dt: 115ms | tok/sec: 1,711,263 | mfu: 39.2% | epoch: 1 | remaining: 223s    
step 00660 (25.6%) | loss: 3.181604 | lrm: 1.00 | dt: 117ms | tok/sec: 1,686,260 | mfu: 38.6% | epoch: 1 | remaining: 223s    
step 00661 (25.6%) | loss: 3.179044 | lrm: 1.00 | dt: 112ms | tok/sec: 1,756,273 | mfu: 40.2% | epoch: 1 | remaining: 223s    
step 00662 (25.7%) | loss: 3.180796 | lrm: 1.00 | dt: 115ms | tok/sec: 1,715,892 | mfu: 39.3% | epoch: 1 | remaining: 223s    
step 00663 (25.7%) | loss: 3.183382 | lrm: 1.00 | dt: 116ms | tok/sec: 1,697,199 | mfu: 38.8% | epoch: 1 | remaining: 223s    
step 00664 (25.7%) | loss: 3.186126 | lrm: 1.00 | dt: 116ms | tok/sec: 1,701,573 | mfu: 38.9% | epoch: 1 | remaining: 223s    
step 00665 (25.8%) | loss: 3.186438 | lrm: 1.00 | dt: 117ms | tok/sec: 1,687,478 | mfu: 38.6% | epoch: 1 | remaining: 223s    
step 00666 (25.8%) | loss: 3.188208 | lrm: 1.00 | dt: 116ms | tok/sec: 1,694,389 | mfu: 38.8% | epoch: 1 | remaining: 222s    
step 00667 (25.9%) | loss: 3.182047 | lrm: 1.00 | dt: 116ms | tok/sec: 1,700,622 | mfu: 38.9% | epoch: 1 | remaining: 222s    
step 00668 (25.9%) | loss: 3.184962 | lrm: 1.00 | dt: 114ms | tok/sec: 1,721,307 | mfu: 39.4% | epoch: 1 | remaining: 222s    
step 00669 (25.9%) | loss: 3.183856 | lrm: 1.00 | dt: 120ms | tok/sec: 1,633,261 | mfu: 37.4% | epoch: 1 | remaining: 222s    
step 00670 (26.0%) | loss: 3.183025 | lrm: 1.00 | dt: 112ms | tok/sec: 1,749,718 | mfu: 40.1% | epoch: 1 | remaining: 222s    
step 00671 (26.0%) | loss: 3.186772 | lrm: 1.00 | dt: 116ms | tok/sec: 1,699,753 | mfu: 38.9% | epoch: 1 | remaining: 222s    
step 00672 (26.1%) | loss: 3.184967 | lrm: 1.00 | dt: 121ms | tok/sec: 1,622,579 | mfu: 37.1% | epoch: 1 | remaining: 222s    
step 00673 (26.1%) | loss: 3.188586 | lrm: 1.00 | dt: 115ms | tok/sec: 1,712,037 | mfu: 39.2% | epoch: 1 | remaining: 222s    
step 00674 (26.1%) | loss: 3.189632 | lrm: 1.00 | dt: 114ms | tok/sec: 1,725,077 | mfu: 39.5% | epoch: 1 | remaining: 221s    
step 00675 (26.2%) | loss: 3.189082 | lrm: 1.00 | dt: 120ms | tok/sec: 1,635,327 | mfu: 37.4% | epoch: 1 | remaining: 221s    
step 00676 (26.2%) | loss: 3.198601 | lrm: 1.00 | dt: 114ms | tok/sec: 1,723,325 | mfu: 39.4% | epoch: 1 | remaining: 221s    
step 00677 (26.2%) | loss: 3.189807 | lrm: 1.00 | dt: 115ms | tok/sec: 1,715,156 | mfu: 39.3% | epoch: 1 | remaining: 221s    
step 00678 (26.3%) | loss: 3.182714 | lrm: 1.00 | dt: 115ms | tok/sec: 1,709,634 | mfu: 39.1% | epoch: 1 | remaining: 221s    
step 00679 (26.3%) | loss: 3.188364 | lrm: 1.00 | dt: 113ms | tok/sec: 1,736,045 | mfu: 39.7% | epoch: 1 | remaining: 221s    
step 00680 (26.4%) | loss: 3.181457 | lrm: 1.00 | dt: 116ms | tok/sec: 1,692,941 | mfu: 38.8% | epoch: 1 | remaining: 221s    
step 00681 (26.4%) | loss: 3.186572 | lrm: 1.00 | dt: 133ms | tok/sec: 1,478,301 | mfu: 33.8% | epoch: 1 | remaining: 221s    
step 00682 (26.4%) | loss: 3.186132 | lrm: 1.00 | dt: 112ms | tok/sec: 1,748,209 | mfu: 40.0% | epoch: 1 | remaining: 221s    
step 00683 (26.5%) | loss: 3.184808 | lrm: 1.00 | dt: 114ms | tok/sec: 1,717,435 | mfu: 39.3% | epoch: 1 | remaining: 220s    
step 00684 (26.5%) | loss: 3.181263 | lrm: 1.00 | dt: 117ms | tok/sec: 1,680,292 | mfu: 38.5% | epoch: 1 | remaining: 220s    
step 00685 (26.6%) | loss: 3.182201 | lrm: 1.00 | dt: 114ms | tok/sec: 1,719,412 | mfu: 39.4% | epoch: 1 | remaining: 220s    
step 00686 (26.6%) | loss: 3.175043 | lrm: 1.00 | dt: 129ms | tok/sec: 1,525,463 | mfu: 34.9% | epoch: 1 | remaining: 220s    
step 00687 (26.6%) | loss: 3.179935 | lrm: 1.00 | dt: 111ms | tok/sec: 1,764,345 | mfu: 40.4% | epoch: 1 | remaining: 220s    
step 00688 (26.7%) | loss: 3.177433 | lrm: 1.00 | dt: 118ms | tok/sec: 1,670,032 | mfu: 38.2% | epoch: 1 | remaining: 220s    
step 00689 (26.7%) | loss: 3.178602 | lrm: 1.00 | dt: 115ms | tok/sec: 1,709,787 | mfu: 39.1% | epoch: 1 | remaining: 220s    
step 00690 (26.8%) | loss: 3.175776 | lrm: 1.00 | dt: 115ms | tok/sec: 1,709,833 | mfu: 39.1% | epoch: 1 | remaining: 220s    
step 00691 (26.8%) | loss: 3.178384 | lrm: 1.00 | dt: 116ms | tok/sec: 1,701,219 | mfu: 38.9% | epoch: 1 | remaining: 220s    
step 00692 (26.8%) | loss: 3.179627 | lrm: 1.00 | dt: 114ms | tok/sec: 1,721,817 | mfu: 39.4% | epoch: 1 | remaining: 219s    
step 00693 (26.9%) | loss: 3.183221 | lrm: 1.00 | dt: 114ms | tok/sec: 1,717,164 | mfu: 39.3% | epoch: 1 | remaining: 219s    
step 00694 (26.9%) | loss: 3.184667 | lrm: 1.00 | dt: 116ms | tok/sec: 1,694,970 | mfu: 38.8% | epoch: 1 | remaining: 219s    
step 00695 (26.9%) | loss: 3.181099 | lrm: 1.00 | dt: 116ms | tok/sec: 1,699,757 | mfu: 38.9% | epoch: 1 | remaining: 219s    
step 00696 (27.0%) | loss: 3.182976 | lrm: 1.00 | dt: 115ms | tok/sec: 1,715,007 | mfu: 39.3% | epoch: 1 | remaining: 219s    
step 00697 (27.0%) | loss: 3.180745 | lrm: 1.00 | dt: 128ms | tok/sec: 1,541,734 | mfu: 35.3% | epoch: 1 | remaining: 219s    
step 00698 (27.1%) | loss: 3.178912 | lrm: 1.00 | dt: 113ms | tok/sec: 1,746,931 | mfu: 40.0% | epoch: 1 | remaining: 219s    
step 00699 (27.1%) | loss: 3.181901 | lrm: 1.00 | dt: 115ms | tok/sec: 1,712,485 | mfu: 39.2% | epoch: 1 | remaining: 219s    
step 00700 (27.1%) | loss: 3.184080 | lrm: 1.00 | dt: 116ms | tok/sec: 1,690,470 | mfu: 38.7% | epoch: 1 | remaining: 218s    
step 00701 (27.2%) | loss: 3.179748 | lrm: 1.00 | dt: 115ms | tok/sec: 1,706,478 | mfu: 39.1% | epoch: 1 | remaining: 218s    
step 00702 (27.2%) | loss: 3.175482 | lrm: 1.00 | dt: 121ms | tok/sec: 1,622,164 | mfu: 37.1% | epoch: 1 | remaining: 218s    
step 00703 (27.3%) | loss: 3.180559 | lrm: 1.00 | dt: 114ms | tok/sec: 1,720,808 | mfu: 39.4% | epoch: 1 | remaining: 218s    
